X,Date,Opponent,W.L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS,year,home_away,conf_nonconf,block.success,kills.per.set,blocks.per.set,blocking.error.rate,assists.per.set,bhe.rate,digs.per.set,sre.per.set,se.per.set,sa.per.set,yearless,yearless.date
62,2018-09-01,vs Simpson,L,3,23,20,84,0.036,20,6,7,6,27,2,10,1,7,2,36,2018,away,non-conference,0.7,7.66666666666667,2.33333333333333,0.333333333333333,6.66666666666667,0.1,9,2,2.33333333333333,2,01/09,2022-09-01
63,2018-09-01,at Bethany Lutheran,L,3,22,19,90,0.033,20,2,7,6,32,0,4,2,2,2,26,2018,home,non-conference,0.5,7.33333333333333,0.666666666666667,0.666666666666667,6.66666666666667,0.1,10.6666666666667,2,2.33333333333333,0.666666666666667,01/09,2022-09-01
64,2018-09-05,Northwestern (Minn.),W,4,54,18,165,0.218,50,5,8,5,72,0,16,1,8,2,67,2018,away,non-conference,0.5,13.5,2,0.25,12.5,0.04,18,1.25,2,1.25,05/09,2022-09-05
65,2018-09-08,vs Ripon College,L,3,31,16,93,0.161,29,4,8,3,22,0,0,0,0,1,35,2018,away,non-conference,NA,10.3333333333333,0,0,9.66666666666667,0.0344827586206897,7.33333333333333,1,2.66666666666667,1.33333333333333,08/09,2022-09-08
66,2018-09-08,vs Beloit College,L,3,16,17,80,-0.013,16,3,6,6,23,5,2,3,6,1,25,2018,away,non-conference,3,5.33333333333333,2,1,5.33333333333333,0.0625,7.66666666666667,2,2,1,08/09,2022-09-08
67,2018-09-09,vs Lake Forest College,L,3,29,22,105,0.067,28,3,4,6,36,1,8,0,5,0,37,2018,away,non-conference,0.625,9.66666666666667,1.66666666666667,0,9.33333333333333,0,12,2,1.33333333333333,1,09/09,2022-09-09
68,2018-09-09,Lawrence University,L,3,30,17,104,0.125,28,7,7,8,47,1,10,0,6,0,43,2018,away,non-conference,0.6,10,2,0,9.33333333333333,0,15.6666666666667,2.66666666666667,2.33333333333333,2.33333333333333,09/09,2022-09-09
69,2018-09-12,Augsburg University,L,4,38,23,154,0.097,38,6,5,6,62,1,20,1,11,4,55,2018,away,conference,0.55,9.5,2.75,0.25,9.5,0.105263157894737,15.5,1.5,1.25,1.5,12/09,2022-09-12
70,2018-09-15,vs UW-Stout,L,4,54,28,142,0.183,49,4,5,4,50,1,12,2,7,1,65,2018,away,non-conference,0.583333333333333,13.5,1.75,0.5,12.25,0.0204081632653061,12.5,1,1.25,1,15/09,2022-09-15
71,2018-09-15,vs Luther College,L,3,37,19,109,0.165,35,5,6,5,39,3,10,2,8,0,50,2018,away,non-conference,0.8,12.3333333333333,2.66666666666667,0.666666666666667,11.6666666666667,0,13,1.66666666666667,2,1.66666666666667,15/09,2022-09-15
72,2018-09-19,at Hamline,L,3,24,14,101,0.099,24,2,2,9,35,1,2,0,2,3,28,2018,home,conference,1,8,0.666666666666667,0,8,0.125,11.6666666666667,3,0.666666666666667,0.666666666666667,19/09,2022-09-19
73,2018-09-22,Macalester,L,3,20,19,93,0.011,19,6,5,6,20,0,2,3,1,3,27,2018,away,conference,0.5,6.66666666666667,0.333333333333333,1,6.33333333333333,0.157894736842105,6.66666666666667,2,1.66666666666667,2,22/09,2022-09-22
74,2018-09-26,St. Thomas,W,4,62,22,160,0.25,60,1,5,4,72,5,12,1,11,1,74,2018,away,non-conference,0.916666666666667,15.5,2.75,0.25,15,0.0166666666666667,18,1,1.25,0.25,26/09,2022-09-26
75,2018-09-29,Bethel University,W,3,38,16,125,0.176,38,9,3,3,54,1,10,1,6,0,53,2018,away,conference,0.6,12.6666666666667,2,0.333333333333333,12.6666666666667,0,18,1,1,3,29/09,2022-09-29
76,2018-09-29,vs Muhlenberg College,W,5,57,19,149,0.255,56,7,11,4,53,2,10,1,7,1,71,2018,away,non-conference,0.7,11.4,1.4,0.2,11.2,0.0178571428571429,10.6,0.8,2.2,1.4,29/09,2022-09-29
